"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"11.04.2022","4,962","4,929","5,054","4,906","49,22M","1,41%"
"08.04.2022","4,893","4,929","4,999","4,892","24,40M","0,98%"
"07.04.2022","4,845","4,885","4,995","4,833","61,46M","-0,23%"
"06.04.2022","4,857","5,098","5,122","4,808","39,50M","-7,50%"
"05.04.2022","5,250","5,319","5,319","5,204","42,62M","-1,35%"
"04.04.2022","5,322","5,343","5,343","5,220","79,98M","0,60%"
"01.04.2022","5,290","5,263","5,321","5,235","35,33M","1,54%"
"31.03.2022","5,210","5,344","5,422","5,210","59,68M","-3,34%"
"30.03.2022","5,390","5,461","5,471","5,357","16,88M","-2,02%"
"29.03.2022","5,501","5,230","5,553","5,208","35,11M","6,71%"
"28.03.2022","5,155","5,120","5,292","5,120","33,03M","0,78%"
"25.03.2022","5,115","5,110","5,137","5,055","18,06M","-0,10%"
"24.03.2022","5,120","5,260","5,265","5,120","58,15M","-1,52%"
"23.03.2022","5,199","5,356","5,382","5,199","26,56M","-3,09%"
"22.03.2022","5,365","5,328","5,400","5,327","20,70M","1,42%"
"21.03.2022","5,290","5,271","5,384","5,268","13,79M","0,19%"
"18.03.2022","5,280","5,303","5,324","5,225","35,21M","-0,23%"
"17.03.2022","5,292","5,389","5,420","5,221","24,82M","-1,49%"
"16.03.2022","5,372","5,275","5,450","5,244","28,73M","4,64%"
"15.03.2022","5,134","5,046","5,194","5,002","20,20M","0,57%"
"14.03.2022","5,105","5,000","5,155","4,985","25,81M","2,24%"
"11.03.2022","4,993","5,023","5,290","4,924","29,31M","0,03%"
"10.03.2022","4,991","5,000","5,111","4,898","30,09M","-0,07%"
"09.03.2022","4,995","4,775","5,001","4,742","42,28M","8,67%"
"08.03.2022","4,596","4,400","4,742","4,384","38,63M","2,47%"
"07.03.2022","4,485","4,598","4,655","4,445","51,00M","-6,54%"
